測網代碼,測站代碼,參考地點,參考經度,參考緯度,參考高度
CWB_SMT,TAP,臺北地震站,121.514,25.038,16
TSMIP,A024,板橋地震站,121.475,25.019,14
CWASN,NTS,淡水地震站,121.449,25.164,15
CWASN,TIPB,雙溪地震站,121.826,24.972,399
CWASN,NOU,基隆地震站,121.773,25.149,16
CWB_SMT,NTY,桃園地震站,121.298,25.000,93
CWASN,NCU,中壢地震站,121.187,24.967,131
TSMIP,B011,大溪地震站,121.286,24.884,117
CWASN,HSN1,新竹地震站,121.018,24.779,91
CWASN,HSN,竹北地震站,121.014,24.828,31
CWASN,NJD,竹東地震站,121.088,24.736,131
TSMIP,B131,苗栗地震站,120.826,24.565,50
CWB_SMT,TWQ1,鯉魚潭地震站,120.781,24.346,286
TSMIP,B045,(沒有泰安)獅潭地震站,120.9206,24.5399,201
CWASN,TCU,臺中地震站,120.684,24.146,89
CWASN,WDJ,大甲地震站,120.640,24.348,99
CWA,WHP,烏石坑地震站,120.946,24.278,934
CWB_SMT,WNT1,南投地震站,120.680,23.907,118
CWASN,WPL,埔里地震站,120.957,24.012,465
CWASN,WHY,信義地震站,120.853,23.696,495
CWASN,WCHH,彰化地震站,120.558,24.079,25
CWASN,WYL,員林地震站,120.580,23.960,33
CWASN,WDL,斗六地震站,120.539,23.715,52
CWASN,WSL,水林地震站,120.228,23.523,3
CWASN,CHY1,嘉義地震站,120.433,23.496,31
TSMIP,C095,太保地震站,23.46,120.29,10
CWASN,WCKO,番路地震站,120.605,23.439,233
CWASN,TAI,臺南市,臺南地震站,120.205,22.993,19
TSMIP,C015,白河地震站,120.414,23.353,39
CWB_SMT,CHN1,楠西地震站,120.529,23.185,216
CWASN,KAU,前鎮地震站,22.5662,120.3157,1
CWASN,SCS,旗山地震站,120.494,22.885,70
CWASN,SPT,屏東地震站,120.496,22.677,29
CWASN,HEN,恆春地震站,120.746,22.004,26
CWASN,SSD,三地門地震站,120.640,22.744,148
CWASN,ILA,宜蘭地震站,121.756,24.764,11
CWB_SMT,TWC,蘇澳地震站,121.860,24.608,33
CWB_SMT,ENT,牛鬥地震站,121.574,24.638,252
CWASN,HWA,花蓮地震站,121.613,23.975,18
CWASN,EGFH,光復地震站,121.427,23.669,126
CWASN,EYUL,玉里地震站,121.319,23.347,138
CWASN,TTN,臺東地震站,121.155,22.752,12
CWASN,ECS,池上地震站,121.219,23.095,286
CWASN,TAWH,大武地震站,120.888,22.340,24
CWASN,PNG,馬公地震站,119.564,23.565,10
CWASN,KNM,金門地震站,118.289,24.407,31
CWASN,MSU,馬祖地震站,119.923,26.169,85
